pid	text	labels
0.jpg	Shivam @shivamishraa Girls be named naina and then have eyes that don't work	Shivam @shivamishraa Girls be named {naina and then {have {eyes {that {don't {work
2.jpg	For Boyfriend For Bestfriend DESI ADUKT TROLLS	{For {Boyfriend {For {Bestfriend DESI ADUKT TROLLS
4.jpg	not_shubham14 @mentally_dank Kids at Marine Drive 21 years Single me	not_shubham14 @mentally_dank {Kids {at {Marine {Drive {21 {years {Single me
5.jpg	what if we use 100% of our brain?	what if we {use {100% {of {our {brain?
6.jpg	If the opposite of Con is Pro Is Congress the opposite of Progress?	If the opposite of Con is Pro Is {Congress the {opposite {of {Progress?
8.png	you can't be racist if there is no other race	you {can't {be {racist {if there is {no {other {race
9.jpg	zaheer khan invented knukle bowl lord shardhul with fu@kle bowl-	zaheer khan invented knukle bowl {lord {shardhul {with {fu@kle {bowl-
10.png	when your debit card decline at the abortion clinic and they have to put the baby back in	when your {debit {card {decline {at the {abortion {clinic and {they have to {put {the {baby {back {in
11.jpg	ADDING MEDIEVAL WEAPONS TO DOGS PLAYING ON BEACH NEEDS TO BECOME A THING	{ADDING {MEDIEVAL {WEAPONS {TO {DOGS {PLAYING {ON {BEACH NEEDS TO {BECOME {A {THING
12.png	how you guys think you looks like but when pados wale pandit jee sees you taba renso	how you guys think you looks like but when {pados {wale {pandit {jee {sees {you taba renso
14.png	when you forget to wash your hands	when {you {forget {to {wash {your {hands
16.png	im long and strong and down to get the goat hump on	im {long {and {strong and {down {to {get {the {goat {hump {on
17.jpg	i want you to make my legs shake	i want you to {make {my {legs {shake
18.png	when you catch your goat with another man	when you {catch {your {goat {with {another {man
19.jpg	my insta stories my real life SCOOPWHOOP.com	my {insta {stories my {real {life SCOOPWHOOP.com
20.png	kill the jews and muslims for being anti-white	{kill {the {jews {and {muslims {for {being {anti-white
21.jpg	Bc ye ganja karde toh Bhi Chalega	{Bc {ye {ganja {karde {toh {Bhi {Chalega
22.png	do you think a terrorist has or could infiltrate our goverment ???	do you think a {terrorist {has {or {could {infiltrate {our {goverment ???
23.jpg	You cied on Arijit songs & I cried here We aren't same bro	{You {cried {on {Arijit {songs & I cried here {We {aren't {same {bro
24.png	when your ex ask you for help	when {your {ex {ask {you {for {help
25.jpg	No onw:8 year old me:	No one: {8 {year {old {me:
26.png	american cops when they graduate police academy let the black man come forth! let murder be done upon him!	{american {cops {when they {graduate {police {academy let the black man come forth! {let {murder {be {done {upon {him!
28.png	i too was once a male trapped in a female's body but then i was born	i too was once a {male {trapped {in a {female's {body but {then {i {was {born
29.jpg	NOBODY : MOM MAKING A 2 YEARS OLD KID EAT FOOD grandma Uncle Mummy Aunty Grandpa	NOBODY : MOM MAKING A {2 {YEARS {OLD {KID {EAT {FOOD {grandma {Uncle {Mummy {Aunty {Grandpa
30.png	him: the dishwasher is acting weird her: what's it doing him: chopping fucking vegetables	him: the {dishwasher is {acting {weird her: what's it doing him: {chopping {fucking {vegetables
31.jpg	tumhe jo mene dekha tumhe jo maine jana	{tumhe jo {mene {dekha {tumhe jo {maine {jana
32.png	when you consume too much trans fat	when {you {consume {too {much {trans {fat
33.jpg	Perfect licence plate doesn't exis.. BJ69420	Perfect licence plate doesn't exis.. {BJ69420
34.png	i did not divide the country the republican decision to obstruct every single thing i proposed to help us dig out of the financial crisis they caused divided the country	i did not divide the country the republican decision to obstruct every single thing {i {proposed {to {help {us {dig {out {of {the {financial {crisis {they {caused {divided {the {country
35.jpg	at what age did you discover that pen covers are meant to hold the page from flipping when studying or wriiting	at what age did you discover that {pen {covers are meant to {hold {the {page {from {flipping {when {studying {or {wriiting
36.png	terrorism is just part and parcel of living in a big city. sadiq khan london mayor tokyo: over 13 million people no islamic terrorism	terrorism is just part and parcel of living in a big city. sadiq khan london mayor tokyo: {over {13 {million {people {no {islamic {terrorism
38.png	you don't have a cat? this is your lucky day! i'm moving in!	you don't have a cat? this is {your {lucky {day! {i'm {moving {in!
39.jpg	people taking admission in engineering  people finding jobs after engineering	people taking {admission {in {engineering  {people {finding {jobs {after {engineering
40.png	how many fucking accounts do you assholes have?	how many {fucking {accounts do {you {assholes have?
41.jpg	Kiya Zamana Aa Gaya Hai ? Baap Kahta Hai Me Tera Dost Jaisa Hoon Aur DOst Kahta Hai Me tera Baap Jaisa Hoon	Kiya Zamana Aa Gaya Hai ? Baap Kahta Hai Me Tera Dost Jaisa Hoon Aur DOst Kahta Hai {Me {tera {Baap {Jaisa {Hoon
42.png	weeeeeee! back over the border you go!	{weeeeeee! {back {over the {border you go!
43.jpg	nobody:literally nobody:me with my class at computer lab changing wallpaper seeing youtube videos naughty america	nobody:literally nobody:me with my class at computer lab {changing {wallpaper {seeing {youtube {videos {naughty {america
44.png	they can kill the messenger but they can't kill the message	they can kill the messenger but they {can't {kill the {message
